# Logfile created on 2026-03-16 15:56:12 +0000 by logger.rb/v1.6.0
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : Starting running IHP-SG13G2 KLayout DRC runset on /data/Projects/tiny_workspace/macros/gds/khn_biquad.gds
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : Ruby Version for klayout: 3.3.10
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : Loading database to memory is complete.
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : IHP-SG13G2 KLayout DRC runset output at: /data/Projects/tiny_workspace/macros/drc_run_khn_biquad/khn_biquad_khn_biquad_main.lyrdb
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : Evaluate switches.
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : tables selected: main
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : deep mode is enabled.
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : FEOL enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : BEOL enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : OFFGRID enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : PIN enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : FORBIDDEN enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : RECOMMENDED enabled: true
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : PreCheck DRC enabled: false
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : CONNECTIVITY_RULES enabled: true.
2026-03-16 15:56:12 +0000: Memory Usage (422988K) : Read in polygons from layers.
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_drw has 129 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_iopc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : activ_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : biwind_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : biwind_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : pemwind_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_drw has 222 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_iopc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : gatpoly_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : cont_drw has 351 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : cont_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : nsd_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : nsd_block has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : metal1_drw has 852 polygons
2026-03-16 15:56:12 +0000: Memory Usage (424156K) : metal1_pin has 0 polygons
